restaurant_name,title,description,day_of_week,start_time,end_time,deal_type,price,website_url,scraped_at
Hapa Sushi,Sake Bomb,Traditional sake bomb,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$12.00,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Hapa Sushi,House Wine,Selection of house wines,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$7.00,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Hapa Sushi,Well Drinks,Standard well drink specials,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$8.00,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Hapa Sushi,Hot Sake,Traditional hot sake,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$6.60,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Hapa Sushi,Hapa Beer,House beer special,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Happy Hour,Happy Hour,food,$4.00,https://hapasushi.com/pages/lodo,2025-08-12 20:16:55
Tamayo,Happy Hour,Discounted drinks and flavorful Mexican bites,"Monday,Tuesday,Wednesday,Thursday,Friday",3:00 PM,5:00 PM,happy_hour,,https://tamayodenver.com/happy-hour,2025-08-12 20:16:56
Tamayo,Weekend Brunch,Saturday and Sunday brunch specials,"Saturday,Sunday",2:00 PM,4:00 PM,brunch,,https://tamayodenver.com/happy-hour,2025-08-12 20:16:56
Tamayo,Margarita Specials,House margaritas and specialty cocktails,"Monday,Tuesday,Wednesday,Thursday,Friday",Happy Hour,Happy Hour,drink,,https://tamayodenver.com/happy-hour,2025-08-12 20:16:56
Tamayo,Mexican Appetizers,Discounted appetizers and small plates,"Monday,Tuesday,Wednesday,Thursday,Friday",Happy Hour,Happy Hour,food,,https://tamayodenver.com/happy-hour,2025-08-12 20:16:56
Tamayo,Beer & Wine,Happy hour pricing on beer and wine selection,"Monday,Tuesday,Wednesday,Thursday,Friday",Happy Hour,Happy Hour,drink,,https://tamayodenver.com/happy-hour,2025-08-12 20:16:56
